name,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($),Case material_Aluminum,Case material_Gold/Steel,Case material_Palladium,Case material_Platinum,Case material_Red gold,Case material_Rose gold,Case material_Silver,Case material_Steel,Case material_White gold,Case material_Yellow gold,Movement_Automatic,Movement_Manual winding,Movement_Quartz
27,2023,6,436,0,228,,53888.0,False,False,False,False,False,True,False,False,False,False,True,False,False
27,2020,6,346,1,219,,105975.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,1983,6,109,2,259,,100220.0,False,False,False,False,False,False,False,False,False,True,True,False,False
2,2022,5,657,2,247,,117348.0,False,False,False,True,False,False,False,False,False,False,True,False,False
27,2008,6,577,2,26,,44041.0,False,False,False,False,False,True,False,False,False,False,True,False,False
0,1987,6,800,1,51,,61224.0,False,False,False,False,False,False,False,False,False,True,True,False,False
0,1925,6,681,1,259,,16147.0,False,False,False,True,False,False,False,False,False,False,False,True,False
18,1992,1,144,2,146,,55678.0,False,False,False,False,False,False,False,True,False,False,True,False,False
4,2017,6,395,2,70,,102190.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2021,6,656,0,247,,22993.0,False,False,False,False,False,True,False,False,False,False,False,True,False
1,2020,6,333,2,80,,49256.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1959,6,800,0,96,1400.0,8908.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,2019,6,546,2,96,,32293.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2012,3,641,2,259,,109129.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1990,6,175,3,47,,12249.0,False,False,False,False,False,False,False,False,False,True,False,True,False
2,2006,6,665,2,259,,49290.0,False,False,False,True,False,False,False,False,False,False,True,False,False
1,2023,1,498,2,259,,45759.0,False,False,False,False,False,False,False,False,True,False,True,False,False
27,2015,5,745,2,222,,80375.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,2023,6,324,3,133,,29422.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2024,0,248,0,130,53092.91584566751,8536.0,False,False,False,False,False,False,False,False,False,True,False,False,True
21,2011,6,508,2,259,,45047.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2023,3,711,2,233,,63000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2000,6,631,2,247,,130560.0,False,False,False,False,False,True,False,False,False,False,True,False,False
21,2018,6,768,2,208,,68425.0,False,False,False,False,False,False,False,False,True,False,True,False,False
12,2000,6,335,0,259,1968.0,26000.0,False,False,False,False,False,False,False,False,False,True,True,False,False
6,1991,6,166,0,222,,10500.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1990,3,320,2,228,,38147.0,False,False,False,False,False,False,False,False,True,False,False,True,False
4,2021,3,676,2,196,,129681.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2014,6,451,2,247,,24410.0,False,False,False,False,False,True,False,False,False,False,False,True,False
6,1999,6,421,3,151,,29509.0,False,False,False,False,False,False,False,False,False,True,True,False,False
0,1925,6,758,0,65,,10010.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,2021,6,579,0,247,,34300.0,False,False,False,True,False,False,False,False,False,False,False,True,False
18,1981,6,109,3,259,,121253.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2023,6,176,0,259,,14337.0,False,False,False,False,False,False,False,False,True,False,False,True,False
0,1970,0,126,0,133,,7539.0,False,False,False,False,False,True,False,False,False,False,False,True,False
6,2007,6,688,3,177,,29292.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,1998,1,138,0,26,,54286.0,False,False,False,False,False,False,False,True,False,False,True,False,False
