name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
21,1,3,2005,5,548,2,544,1256.6370614359173,200000.0
6,1,6,1999,5,245,3,153,855.2985999398212,11459.0
17,2,6,2011,5,568,2,463,804.247719318987,41870.0
4,0,6,2023,4,547,2,824,1398.6684653047118,129000.0
17,2,6,2010,1,567,2,828,804.247719318987,35000.0
6,1,6,2016,5,468,2,31,1075.2100856911068,30957.0
1,0,6,2022,4,471,2,542,1256.6370614359173,58021.0
17,0,3,2020,5,552,2,626,1288.2493375126646,119580.0
17,0,5,1999,5,202,3,242,1385.4423602330987,74387.0
17,0,3,2017,5,525,2,293,1256.6370614359173,200441.0
17,0,3,2014,4,567,2,761,1398.6684653047118,83000.0
1,0,3,2022,4,471,2,126,1256.6370614359173,75722.0
1,0,6,2024,4,355,2,127,1134.1149479459152,62248.0
2,0,5,2022,3,538,2,824,1385.4423602330987,75000.0
4,0,6,2019,5,463,2,527,1398.6684653047118,81154.0
4,0,3,2023,3,547,2,134,1288.2493375126646,183626.0
17,0,5,2022,4,525,2,824,1256.6370614359173,1650000.0
4,0,5,1999,0,405,0,544,1134.1149479459152,61965.0
6,1,7,1959,5,75,0,42,962.1127501618741,38362.0
17,0,3,2015,5,525,2,824,1256.6370614359173,165000.0
26,0,3,2021,3,583,2,609,1017.8760197630929,55000.0
1,0,1,2008,5,454,1,233,1194.5906065275187,48986.0
24,2,5,2023,3,347,2,148,490.8738521234052,15657.0
4,0,5,2022,4,460,2,824,1307.4051987179282,82995.0
1,0,5,2024,4,355,2,765,1134.1149479459152,44080.0
6,1,3,2005,5,343,2,190,572.5552611167398,10356.0
24,0,3,2024,3,592,2,747,1017.8760197630929,52085.0
1,0,6,2015,5,482,2,824,1288.2493375126646,45500.0
21,1,7,2021,5,488,2,85,1320.2543126711105,149217.0
6,1,7,2018,1,488,0,824,1017.8760197630929,13000.0
25,1,7,1977,5,35,0,127,572.5552611167398,22806.0
17,0,5,2023,4,526,2,824,1520.0,119445.0
2,0,3,2013,5,545,2,619,1256.6370614359173,78134.0
12,0,3,2024,4,427,2,791,1530.3200000000002,52500.0
12,1,3,1912,5,40,0,554,2290.221044466959,15660.0
2,0,5,2018,5,545,2,393,1288.2493375126646,77358.0
6,1,3,2017,5,468,2,164,1075.2100856911068,20322.0
