name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
4,0,5,2016,6,545,2,259,1256.6370614359173,83750.0
4,0,5,2022,5,545,2,247,1307.4051987179282,114775.0
4,0,5,2024,3,545,2,195,1256.6370614359173,94000.0
27,1,5,2017,6,578,2,185,1164.1564276958677,42260.0
18,0,5,2023,6,436,0,153,1559.25,70397.0
18,0,7,2016,6,711,2,133,1256.6370614359173,86497.0
18,2,8,2011,6,712,2,259,804.247719318987,48986.0
21,0,5,2024,6,449,0,66,1134.1149479459152,50586.0
1,0,3,2008,6,580,1,41,1194.5906065275187,48986.0
11,1,8,2017,1,163,0,259,864.0,14317.0
6,0,5,2020,6,372,2,66,1385.4423602330987,37833.0
6,0,9,1995,6,323,2,259,855.2985999398212,19487.0
18,0,7,2015,6,643,2,247,1288.2493375126646,114500.0
25,0,5,2022,3,760,2,219,1017.8760197630929,42500.0
4,0,5,2022,3,562,2,78,1182.3698111050544,89778.0
21,0,9,2000,6,798,2,247,1017.8760197630929,55000.0
0,1,8,1973,6,131,0,182,530.929158456675,9243.0
21,0,8,2010,6,469,0,51,1288.2493375126646,43986.0
4,2,7,2009,6,386,1,247,1017.8760197630929,30000.0
18,0,7,2022,6,414,2,247,1782.0,115000.0
0,1,5,1896,6,641,0,203,2042.820622996763,4555.0
4,0,7,2024,3,664,2,185,1398.6684653047118,144757.0
26,1,9,1959,1,18,0,259,615.7521601035994,8240.0
1,0,5,2022,3,545,2,28,1194.5906065275187,54175.0
6,1,9,2007,1,798,2,259,217.0,17817.0
18,0,7,2013,3,414,2,178,1256.6370614359173,104120.0
4,2,5,2002,3,562,2,78,1182.3698111050544,105474.0
1,0,8,2018,6,316,2,70,1134.1149479459152,43232.0
11,1,9,2017,6,165,1,17,855.2985999398212,14922.0
8,1,5,2012,6,713,2,80,962.1127501618741,43130.0
18,0,7,2023,3,720,2,253,973.1397403759745,79999.0
8,1,8,2020,6,470,2,51,1219.2206929316628,66812.0
4,0,8,2023,6,313,2,247,1398.6684653047118,125980.0
2,0,3,2007,5,665,2,26,1288.2493375126646,66702.0
10,1,9,2015,1,665,0,197,480.0,5865.0
1,0,9,2007,6,499,2,259,1194.5906065275187,37861.0
4,0,8,2023,5,313,2,247,1398.6684653047118,127000.0
11,2,9,2022,1,240,0,148,644.0,8296.0
18,0,1,2018,1,414,2,259,1559.25,130324.0
18,0,7,2005,0,617,2,259,1720.0,157338.0
6,1,7,1968,6,62,0,259,855.2985999398212,11591.0
11,2,9,1997,1,249,1,148,415.4756284372501,10729.0
18,0,5,2022,5,680,2,247,1288.2493375126646,132950.0
6,0,5,2024,6,595,3,259,1134.1149479459152,22000.0
4,0,8,2018,6,528,2,195,1398.6684653047118,74000.0
18,2,5,2012,1,713,3,259,1385.4423602330987,59250.0
6,1,9,2021,0,528,0,133,1017.8760197630929,12879.0
25,2,7,2016,6,280,2,127,750.0,9703.0
18,0,7,2017,5,414,2,172,1288.2493375126646,116367.0
27,0,8,2016,6,373,2,194,1225.4174844408687,120050.0
1,0,7,2024,3,314,2,259,1134.1149479459152,48986.0
18,0,8,2022,6,631,2,247,1256.6370614359173,85500.0
21,0,8,2020,1,643,1,232,1256.6370614359173,58850.0
25,2,7,2022,3,274,2,247,753.0,19000.0
27,0,8,2001,6,528,0,96,1075.2100856911068,36191.0
0,1,9,2024,6,798,0,259,452.3893421169302,14514.0
6,1,9,2002,6,338,2,259,855.2985999398212,17817.0
6,1,9,1951,5,176,0,249,855.2985999398212,11200.0
1,0,5,2001,6,367,3,212,1075.2100856911068,31215.0
6,0,5,2020,6,542,2,247,1194.5906065275187,47905.0
27,0,8,2022,3,744,2,259,1017.8760197630929,52226.0
6,1,9,1962,6,764,1,222,754.7676350249478,12995.0
18,0,7,2012,6,414,2,27,1288.2493375126646,110799.0
0,1,9,1949,1,798,0,27,701.5,13920.0
18,0,1,2018,6,414,2,208,1559.25,142062.0
25,2,7,2024,5,281,2,27,753.0,17594.0
24,0,8,2018,6,641,2,70,1385.4423602330987,35727.0
27,0,9,2022,6,505,0,222,1075.2100856911068,30000.0
18,0,7,2019,6,643,2,259,1520.0,122110.0
8,1,9,1945,6,1,0,233,855.2985999398212,74995.0
27,0,3,2023,3,566,2,78,1164.1564276958677,61472.0
25,2,7,2020,1,280,2,259,750.0,11164.0
18,0,7,2023,6,416,2,70,1288.2493375126646,145536.0
6,0,8,2020,3,752,2,195,1104.4661672776617,46700.0
18,0,7,2021,1,647,2,80,1288.2493375126646,75920.0
18,0,7,2010,6,414,2,228,1782.0,112200.0
4,0,3,2023,3,313,2,228,1398.6684653047118,141750.0
12,1,9,1931,6,344,0,228,1436.2,16900.0
6,0,7,1977,5,544,2,228,1256.6370614359173,83100.0
6,0,8,2023,5,696,2,247,1256.6370614359173,40299.0
12,2,8,2018,5,315,2,247,572.5552611167398,51880.0
0,0,8,2024,1,641,2,259,1385.4423602330987,35729.0
0,0,8,2002,6,334,2,246,1017.8760197630929,20000.0
18,0,7,2000,3,643,2,77,1288.2493375126646,129643.0
27,0,5,2024,5,743,2,247,1017.8760197630929,51499.0
18,0,8,1992,3,631,2,124,1256.6370614359173,98336.0
6,0,8,2022,6,270,2,247,1164.1564276958677,95500.0
