name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
20,0,3,2011,5,1335,2,825,1194.5906065275187,79599.0
26,0,8,2010,1,1025,2,526,1225.4174844408687,36539.0
23,0,5,2020,5,1350,2,825,1385.4423602330987,47500.0
17,2,5,2016,5,1583,2,825,804.247719318987,50541.0
6,0,9,1945,1,217,3,254,962.1127501618741,14350.0
17,0,7,2023,3,1393,2,610,1520.0,135406.0
6,0,9,1940,1,154,3,402,962.1127501618741,15865.0
24,0,7,2021,3,1680,2,733,1017.8760197630929,34500.0
24,2,7,2011,5,613,2,86,750.0,10245.0
1,0,5,2022,5,1201,2,776,1256.6370614359173,58000.0
20,0,5,2023,4,1661,2,646,967.6183912872903,76890.0
4,0,7,2019,5,1491,2,814,1398.6684653047118,139999.0
4,2,7,2010,5,909,1,859,973.1397403759745,35000.0
26,0,5,2021,4,1225,2,545,962.1127501618741,40000.0
0,1,5,1938,5,1718,3,131,907.9202768874502,37861.0
17,2,9,2000,1,507,2,581,572.5552611167398,22160.0
3,0,8,2008,3,1294,2,610,1320.2543126711105,85152.0
24,2,8,2005,1,640,2,352,750.0,14365.0
4,0,5,2024,3,1253,2,610,1182.3698111050544,88000.0
1,0,3,2014,5,1194,2,817,1256.6370614359173,35992.0
4,0,7,2014,5,1144,2,383,1256.6370614359173,58462.0
1,0,8,2014,5,1092,1,528,1194.5906065275187,50481.0
20,0,8,2001,5,786,2,785,1017.8760197630929,46000.0
27,0,8,2021,5,1458,2,531,1194.5906065275187,58950.0
27,0,8,2017,3,1457,2,330,1225.4174844408687,94653.0
6,0,9,2018,5,1114,3,407,1134.1149479459152,29501.0
12,1,9,1956,1,714,0,416,945.0,10148.0
17,0,7,2018,5,1530,2,646,1288.2493375126646,130326.0
4,0,8,2023,3,1494,2,610,1398.6684653047118,124238.0
17,0,7,1990,5,319,0,646,1075.2100856911068,104266.0
17,0,5,2023,5,1632,2,706,962.1127501618741,89750.0
4,0,4,2019,5,1131,2,424,1307.4051987179282,111336.0
1,0,7,2021,5,657,2,785,1134.1149479459152,38500.0
17,0,7,2023,3,1430,2,581,1288.2493375126646,89079.0
6,0,5,2019,5,1350,2,294,1385.4423602330987,46770.0
6,2,9,1979,1,295,0,825,855.2985999398212,12999.0
4,0,7,2021,3,1144,2,825,1256.6370614359173,72000.0
26,0,3,2024,4,1222,2,507,1164.1564276958677,67927.0
1,0,5,2020,4,664,2,825,1134.1149479459152,79805.0
2,0,3,2024,1,1488,2,424,1288.2493375126646,123707.0
2,0,7,2024,3,1446,2,507,1385.4423602330987,71156.0
6,0,8,1980,1,214,0,34,934.8201639838128,14142.0
11,1,8,2022,5,203,0,499,864.0,9243.0
25,1,9,1902,5,1374,0,703,1288.2493375126646,6999.0
17,0,5,1999,5,319,2,280,1288.2493375126646,77949.0
4,0,4,2022,0,1147,2,396,1307.4051987179282,100959.0
12,1,9,2008,4,1010,1,748,1436.2,18800.0
2,0,8,2018,1,1473,2,486,1288.2493375126646,91850.0
6,0,8,2020,5,1672,2,858,1104.4661672776617,36500.0
24,0,7,2004,4,1682,2,823,1017.8760197630929,25500.0
24,2,7,2016,5,614,2,294,750.0,13251.0
25,1,3,2020,1,1186,0,825,1486.1696746888215,8900.0
26,0,5,2018,5,1224,2,825,1164.1564276958677,95000.0
4,0,7,2009,5,852,2,228,907.9202768874502,55677.0
6,0,8,2023,3,1547,2,349,1256.6370614359173,54342.0
17,0,8,2023,4,1443,2,825,1320.2543126711105,155595.0
1,0,8,2022,5,1106,2,706,1194.5906065275187,48950.0
9,0,8,2023,3,1228,2,600,1164.1564276958677,135000.0
0,1,9,2019,1,387,0,413,907.9202768874502,9735.0
1,0,9,2023,5,1100,2,251,1194.5906065275187,32500.0
17,0,7,2012,5,1516,1,128,1288.2493375126646,105788.0
11,0,3,2020,5,1435,3,128,1362.75,54119.0
4,0,5,2017,4,1147,2,154,1256.6370614359173,77949.0
6,1,8,2021,4,1558,2,447,1194.5906065275187,29800.0
17,2,9,1985,5,380,0,323,855.2985999398212,45656.0
4,0,5,2021,5,1131,2,209,1307.4051987179282,116924.0
17,0,7,2008,5,1513,2,620,1288.2493375126646,112021.0
6,0,7,2021,4,1545,2,745,1256.6370614359173,49999.0
26,0,8,2013,3,1044,2,547,1225.4174844408687,122492.0
6,0,9,2018,1,1019,1,499,1702.0,24498.0
4,0,7,2023,4,1144,2,165,1256.6370614359173,74609.0
0,0,9,1960,5,722,0,575,804.247719318987,49000.0
9,0,5,2021,3,1169,2,610,1194.5906065275187,92800.0
6,1,9,1995,5,351,0,160,855.2985999398212,12248.0
9,1,8,2024,3,1164,2,249,1320.2543126711105,74213.0
6,1,7,2023,5,1545,2,228,1256.6370614359173,64563.0
26,0,5,2022,5,1224,2,251,1578.5,38500.0
24,2,7,2012,5,614,3,716,750.0,9300.0
1,0,5,2008,3,1320,2,816,1134.1149479459152,43900.0
